Station id,Baseline Tree depth,Baseline Min samples split,Baseline Min samples leaf,Baseline Feature ratio,Modified Tree depth,Modified Min samples split,Modified Min samples leaf,Modified Feature ratio
4127997,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
4185000,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
4196800,8,4,4,0.6330242596481994,7,3,2,0.6353094161003328
4197100,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
4213000,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
4216418,5,2,3,0.5282532043662949,8,3,4,0.5791076592435124
4221000,5,2,3,0.5282532043662949,8,3,4,0.5791076592435124
4224775,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
4256000,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
4296000,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
5056000,7,5,1,0.6351157813686702,7,3,2,0.6353094161003328
5057000,7,5,1,0.6351157813686702,7,3,2,0.6353094161003328
5057200,7,5,1,0.6351157813686702,7,3,2,0.6353094161003328
5120500,5,8,3,0.7358192915830861,8,7,2,0.6265998724541788
5123400,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
5129115,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
5131500,8,4,4,0.6330242596481994,7,3,2,0.6353094161003328
5291000,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
5362000,5,3,1,0.5191451768312526,8,3,4,0.5791076592435124
5393500,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
5399500,5,2,3,0.5282532043662949,5,6,2,0.5060088760622651
5408000,5,2,3,0.5282532043662949,8,7,2,0.6265998724541788
5412500,7,5,1,0.6351157813686702,8,7,2,0.6265998724541788
5413500,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
5414000,8,4,4,0.6330242596481994,8,7,2,0.6265998724541788
5444000,5,2,3,0.5282532043662949,8,3,4,0.5791076592435124
5454000,5,4,1,0.6931595360241993,3,8,2,0.5835899076556831
5458000,7,5,1,0.6351157813686702,7,3,2,0.6353094161003328
5466500,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
5487980,5,2,3,0.5282532043662949,8,3,4,0.5791076592435124
5489000,7,5,1,0.6351157813686702,8,3,4,0.5791076592435124
5495000,5,8,3,0.7358192915830861,8,7,2,0.6265998724541788
5495500,5,2,3,0.5282532043662949,3,8,2,0.5835899076556831
5501000,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
5503800,5,8,3,0.7358192915830861,7,3,2,0.6353094161003328
5507600,7,5,1,0.6351157813686702,8,7,2,0.6265998724541788
5508805,5,8,3,0.7358192915830861,8,3,4,0.5791076592435124
5514500,7,5,1,0.6351157813686702,8,3,4,0.5791076592435124
5525500,7,5,1,0.6351157813686702,8,7,2,0.6265998724541788
5556500,5,4,1,0.6931595360241993,8,7,2,0.6265998724541788
5584500,8,4,4,0.6330242596481994,8,7,2,0.6265998724541788
5585000,8,4,4,0.6330242596481994,7,3,2,0.6353094161003328
5591550,2,7,3,0.7575793759734148,5,6,2,0.5060088760622651
5592050,5,4,1,0.6931595360241993,2,3,4,0.6761429142764176
5593575,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
5593900,5,2,3,0.5282532043662949,8,3,4,0.5791076592435124
5595730,5,2,3,0.5282532043662949,8,3,4,0.5791076592435124
6191500,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
6224000,8,4,4,0.6330242596481994,8,7,2,0.6265998724541788
6278300,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
6280300,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
6289000,7,5,1,0.6351157813686702,8,3,4,0.5791076592435124
6332515,5,2,3,0.5282532043662949,8,7,2,0.6265998724541788
6311000,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
6339100,5,8,3,0.7358192915830861,7,3,2,0.6353094161003328
6339500,5,8,3,0.7358192915830861,8,7,2,0.6265998724541788
6344600,5,2,3,0.5282532043662949,2,3,4,0.6761429142764176
6350000,7,5,1,0.6351157813686702,8,7,2,0.6265998724541788
6352000,5,4,1,0.6931595360241993,5,6,2,0.5060088760622651
6353000,5,4,1,0.6931595360241993,7,3,2,0.6353094161003328
6354000,5,8,3,0.7358192915830861,5,6,2,0.5060088760622651
6404000,5,4,1,0.6931595360241993,3,8,2,0.5835899076556831
6360500,5,8,3,0.7358192915830861,7,3,2,0.6353094161003328
6406000,8,4,4,0.6330242596481994,2,3,4,0.6761429142764176
6409000,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
6431500,7,5,1,0.6351157813686702,7,3,2,0.6353094161003328
6447000,7,5,1,0.6351157813686702,5,6,2,0.5060088760622651
6447500,8,4,4,0.6330242596481994,8,7,2,0.6265998724541788
6450500,5,4,1,0.6931595360241993,3,8,2,0.5835899076556831
6452000,5,2,3,0.5282532043662949,7,3,2,0.6353094161003328
6453600,7,5,1,0.6351157813686702,8,3,4,0.5791076592435124
6464500,8,4,4,0.6330242596481994,8,7,2,0.6265998724541788
6468170,5,8,3,0.7358192915830861,7,3,2,0.6353094161003328
6470800,5,8,3,0.7358192915830861,8,7,2,0.6265998724541788
6477500,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
6479438,5,2,3,0.5282532043662949,7,3,2,0.6353094161003328
6601000,2,7,3,0.7575793759734148,2,3,4,0.6761429142764176
